,Unnamed: 0.1,Unnamed: 0,age,gender,year_in_school,major,monthly_income,financial_aid,tuition,housing,food,transportation,books_supplies,entertainment,personal_care,technology,health_wellness,miscellaneous,preferred_payment_method
19,19,19,20,Female,Senior,Engineering,1679.96,441.1,3788.51,1072.06,237.16,158.51,261.36,68.97,47.19,319.44,47.19,210.54,Mobile Payment App
20,20,20,19,Male,Junior,Psychology,955.8,658.8,4163.94,591.03,251.46,193.05,66.33,50.49,20.79,96.03,183.15,45.54,Credit/Debit Card
21,21,21,24,Male,Sophomore,Computer Science,543.35,494.1,4741.42,791.21,277.99,174.96,274.1,53.46,24.3,74.84,70.96,178.85,Mobile Payment App
22,22,22,18,Female,Sophomore,Biology,970.2,671.0,5937.62,561.92,188.89,159.19,349.27,43.96,102.17,188.89,71.28,51.08,Mobile Payment App
23,23,23,24,Male,Senior,Economics,691.42,256.5,5418.27,541.83,447.88,177.61,184.04,79.79,109.4,280.57,145.43,77.22,Credit/Debit Card
24,24,24,19,Female,Senior,Economics,1542.02,61.6,7078.5,1149.86,374.37,162.02,119.55,174.6,149.44,374.37,116.4,130.56,Mobile Payment App
25,25,25,25,Female,Junior,Biology,927.52,580.8,7241.52,1041.48,423.72,106.92,278.52,125.4,97.68,312.84,184.8,179.52,Mobile Payment App
26,26,26,20,Male,Senior,Economics,792.4,621.0,4557.27,980.69,544.4,238.1,370.66,68.21,48.91,108.11,204.63,176.32,Credit/Debit Card
27,27,27,20,Female,Junior,Psychology,788.04,775.5,6795.36,803.44,352.11,216.59,314.6,153.67,25.41,136.73,234.74,96.8,Credit/Debit Card
28,28,28,24,Female,Sophomore,Psychology,806.36,738.1,4525.88,483.52,177.51,142.66,153.55,143.75,33.76,169.88,103.46,139.39,Credit/Debit Card
29,29,29,23,Female,Junior,Engineering,700.92,492.8,3408.9,816.2,433.4,196.9,104.5,70.4,68.2,80.3,114.4,190.3,Mobile Payment App
30,30,30,23,Female,Freshman,Economics,1505.86,3.3,6798.79,774.49,338.62,125.84,156.73,167.02,24.02,177.32,120.12,29.74,Mobile Payment App
31,31,31,23,Male,Sophomore,Psychology,1067.99,271.8,4826.55,416.99,313.63,169.29,119.39,106.03,73.06,245.92,147.02,170.18,Mobile Payment App
32,32,32,24,Female,Junior,Computer Science,746.46,610.5,6911.52,1135.2,223.08,175.56,194.04,162.36,63.36,182.16,117.48,198.0,Credit/Debit Card
33,33,33,25,Female,Freshman,Economics,1412.93,121.0,6423.56,535.39,371.8,180.75,279.14,112.11,52.62,264.26,209.35,91.52,Mobile Payment App
34,34,34,23,Male,Junior,Biology,981.36,328.5,3479.76,750.6,384.48,179.28,106.92,125.28,73.44,83.16,33.48,173.88,Mobile Payment App
35,35,35,21,Male,Freshman,Biology,764.93,288.0,2669.76,620.35,546.91,80.35,176.26,63.94,25.92,196.99,51.84,154.66,Mobile Payment App
36,36,36,22,Male,Sophomore,Engineering,1312.2,607.5,3184.11,374.22,301.32,119.07,228.42,120.69,74.52,217.89,85.05,153.9,Cash
37,37,37,23,Male,Senior,Computer Science,1684.68,238.5,6130.08,712.8,211.46,175.82,220.97,104.54,92.66,287.5,64.15,204.34,Cash
38,38,38,21,Female,Senior,Biology,934.12,276.1,7759.49,1009.14,361.55,127.78,361.55,71.15,42.11,432.7,139.39,45.01,Mobile Payment App
39,39,39,20,Female,Senior,Engineering,871.2,431.2,6936.93,957.11,373.89,215.38,81.07,26.62,35.09,171.82,89.54,127.05,Mobile Payment App
40,40,40,24,Female,Freshman,Engineering,638.88,129.8,5012.48,574.64,145.2,166.32,132.88,75.68,72.16,102.96,73.04,137.28,Mobile Payment App
41,41,41,25,Male,Sophomore,Economics,781.49,126.0,5614.6,544.4,304.32,154.79,161.11,131.62,45.28,167.43,46.33,133.73,Cash
42,42,42,23,Female,Sophomore,Economics,1513.51,493.9,5970.39,971.69,176.32,70.79,320.46,132.56,64.35,226.51,86.23,225.23,Mobile Payment App
43,43,43,23,Male,Junior,Psychology,412.29,847.8,3918.42,505.89,387.09,190.08,261.36,56.43,84.15,106.92,113.85,139.59,Credit/Debit Card
44,44,44,23,Female,Senior,Economics,1865.82,969.1,6013.58,375.95,397.97,286.29,361.79,50.34,144.72,185.61,53.48,61.35,Credit/Debit Card
45,45,45,18,Male,Freshman,Computer Science,869.54,313.2,3329.86,509.76,176.26,169.34,158.11,111.46,69.12,140.83,100.22,47.52,Credit/Debit Card
46,46,46,25,Female,Freshman,Psychology,921.1,258.5,4792.57,531.43,252.65,83.25,179.08,98.74,20.33,243.94,30.01,85.18,Cash
47,47,47,19,Male,Senior,Psychology,1064.75,670.5,5737.94,1001.88,181.86,62.07,95.83,123.06,65.34,263.54,38.12,115.43,Mobile Payment App
48,48,48,25,Male,Junior,Psychology,839.16,234.0,4099.59,908.82,120.78,85.14,103.95,61.38,87.12,89.1,167.31,135.63,Mobile Payment App
49,49,49,24,Female,Junior,Economics,776.16,232.1,6971.25,863.72,233.09,144.43,283.14,127.27,32.89,183.04,88.66,60.06,Mobile Payment App
50,50,50,20,Female,Junior,Engineering,1817.64,795.3,5955.4,864.6,390.5,150.7,205.7,49.5,99.0,159.5,220.0,29.7,Cash
51,51,51,21,Female,Freshman,Economics,1532.26,526.9,6270.26,756.18,160.16,76.65,146.43,35.46,54.91,335.19,42.33,146.43,Credit/Debit Card
52,52,52,19,Male,Senior,Computer Science,861.0,594.0,4541.72,994.36,229.28,136.62,89.1,143.75,77.22,178.2,114.05,68.9,Mobile Payment App
53,53,53,18,Male,Freshman,Psychology,838.51,736.2,3230.57,638.35,91.08,76.82,56.23,19.01,24.55,62.57,84.74,49.9,Mobile Payment App
54,54,54,24,Female,Senior,Engineering,1366.33,99.0,4462.48,1165.23,450.12,238.37,176.66,38.72,104.06,131.89,54.45,239.58,Mobile Payment App
55,55,55,22,Female,Sophomore,Engineering,1343.63,343.2,4201.56,916.74,335.61,140.58,234.63,143.55,92.07,119.79,90.09,156.42,Mobile Payment App
56,56,56,24,Male,Freshman,Computer Science,799.34,630.0,4167.94,453.6,192.67,125.28,114.91,40.61,78.62,254.02,165.02,146.88,Mobile Payment App
57,57,57,20,Male,Sophomore,Economics,1125.58,587.7,3176.9,1010.88,227.45,203.23,314.85,42.12,64.23,276.94,57.92,148.47,Mobile Payment App
58,58,58,25,Female,Sophomore,Biology,529.06,55.0,4336.2,553.61,447.88,191.27,262.55,71.28,95.04,213.84,168.7,102.17,Mobile Payment App
59,59,59,20,Female,Junior,Biology,611.6,1067.0,6196.08,826.32,401.28,137.28,264.0,62.04,93.72,294.36,122.76,252.12,Mobile Payment App
60,60,60,20,Male,Junior,Engineering,1485.0,649.8,4850.1,374.4,118.8,173.7,134.1,60.3,24.3,234.9,41.4,38.7,Mobile Payment App
61,61,61,23,Female,Junior,Engineering,1430.88,346.5,5725.5,793.1,253.0,83.6,155.1,94.6,37.4,205.7,174.9,158.4,Mobile Payment App
62,62,62,18,Female,Senior,Biology,709.54,921.8,7620.1,1418.6,432.7,238.13,349.93,123.42,113.26,408.01,175.69,243.94,Cash
63,63,63,20,Male,Freshman,Economics,916.7,890.1,4861.58,434.3,346.32,54.29,72.07,126.36,31.82,116.06,37.44,160.06,Mobile Payment App
64,64,64,19,Female,Junior,Computer Science,1933.36,14.3,4491.96,629.64,190.08,108.24,250.8,143.88,110.88,106.92,73.92,105.6,Mobile Payment App
65,65,65,19,Male,Freshman,Biology,628.99,495.0,5046.62,791.42,129.6,123.55,222.05,77.76,25.06,226.37,165.89,152.93,Mobile Payment App
66,66,66,24,Male,Freshman,Economics,832.03,330.3,3584.88,826.49,243.36,73.94,130.1,126.36,59.9,50.54,75.82,69.26,Mobile Payment App
67,67,67,21,Female,Junior,Engineering,1589.28,133.1,4687.1,536.8,311.3,122.1,315.7,126.5,61.6,253.0,93.5,26.4,Credit/Debit Card
68,68,68,23,Male,Senior,Engineering,1406.59,93.6,5326.2,930.6,113.85,183.15,169.29,57.42,44.55,109.89,29.7,167.31,Mobile Payment App
69,69,69,22,Male,Junior,Economics,606.96,655.2,5335.2,1153.62,358.02,122.85,127.53,105.3,115.83,218.79,228.15,39.78,Mobile Payment App
70,70,70,19,Male,Freshman,Economics,1052.35,790.2,4345.85,422.14,219.02,158.18,224.64,98.28,19.66,222.77,94.54,35.57,Mobile Payment App
71,71,71,21,Male,Sophomore,Computer Science,1300.46,724.5,5289.62,724.14,379.08,145.8,221.62,93.31,77.76,101.09,34.02,127.33,Cash
72,72,72,23,Female,Sophomore,Economics,1691.71,403.7,4144.14,880.31,422.14,151.87,117.12,184.04,113.26,126.13,204.63,69.5,Cash
73,73,73,22,Female,Freshman,Biology,827.9,884.4,4511.23,909.22,322.08,102.43,111.94,108.77,45.41,195.36,109.82,70.75,Mobile Payment App
74,74,74,25,Female,Sophomore,Engineering,1584.79,89.1,3946.14,864.27,178.2,184.14,233.64,22.77,60.39,87.12,86.13,32.67,Credit/Debit Card
75,75,75,19,Female,Senior,Computer Science,2268.27,389.4,7798.69,1064.32,222.16,241.03,152.46,42.11,116.16,124.87,198.92,158.27,Cash
76,76,76,22,Male,Sophomore,Computer Science,1035.1,775.8,5491.8,629.86,154.55,124.42,251.75,120.53,94.28,93.31,145.8,130.25,Mobile Payment App
77,77,77,24,Female,Sophomore,Computer Science,1176.32,26.4,5798.63,670.03,177.01,65.34,72.47,153.25,93.85,213.84,111.67,39.2,Credit/Debit Card
78,78,78,22,Female,Senior,Economics,1303.9,170.5,8538.24,1365.36,275.28,202.92,232.8,179.32,116.4,308.31,163.59,121.12,Mobile Payment App
79,79,79,23,Female,Junior,Economics,1536.48,392.7,7453.16,902.33,473.33,178.75,284.57,164.45,68.64,185.9,153.01,280.28,Cash
80,80,80,18,Female,Freshman,Biology,1044.74,653.4,4895.62,547.01,315.74,78.14,58.08,109.82,91.87,128.83,180.58,203.81,Mobile Payment App
81,81,81,19,Female,Junior,Biology,991.76,935.0,6737.28,822.36,508.2,124.08,254.76,38.28,75.24,341.88,149.16,40.92,Mobile Payment App
82,82,82,24,Male,Senior,Biology,875.16,603.9,6535.19,999.11,279.18,194.83,129.49,171.07,118.8,299.38,235.22,42.77,Mobile Payment App
83,83,83,19,Male,Freshman,Computer Science,1264.54,140.4,3913.06,585.79,160.7,153.79,64.8,29.38,82.08,83.81,120.96,64.8,Mobile Payment App
84,84,84,22,Female,Freshman,Biology,654.72,844.8,3220.8,517.44,368.54,57.02,183.74,84.48,53.86,293.57,151.01,43.3,Mobile Payment App
85,85,85,25,Male,Senior,Computer Science,1732.3,838.8,6751.4,852.98,446.69,180.58,185.33,111.67,96.23,261.36,172.26,98.6,Credit/Debit Card
86,86,86,25,Female,Sophomore,Computer Science,1595.88,48.4,4634.39,734.18,374.22,210.28,213.84,48.71,74.84,293.44,133.06,163.94,Credit/Debit Card
87,87,87,25,Female,Junior,Computer Science,1039.61,157.3,5347.32,1108.8,355.08,157.08,159.72,174.24,52.8,228.36,261.36,165.0,Credit/Debit Card
88,88,88,20,Female,Junior,Economics,821.04,1054.9,6731.01,616.33,334.62,263.12,377.52,77.22,120.12,421.85,231.66,253.11,Mobile Payment App
89,89,89,23,Male,Sophomore,Economics,777.6,839.7,5585.11,443.31,151.63,102.14,53.7,108.46,69.5,260.09,192.7,96.88,Credit/Debit Card
90,90,90,18,Female,Junior,Psychology,1187.01,567.6,7210.39,941.38,314.6,99.22,287.98,89.54,99.22,180.29,152.46,75.02,Credit/Debit Card
91,91,91,19,Male,Senior,Economics,1195.13,352.8,4537.96,528.96,459.46,140.28,344.92,137.71,120.98,83.66,177.61,186.62,Cash
92,92,92,23,Male,Sophomore,Economics,1258.74,812.7,4657.42,832.92,418.04,151.63,67.39,62.13,83.19,196.91,199.02,118.99,Mobile Payment App
93,93,93,18,Male,Sophomore,Economics,1187.78,562.5,4460.51,907.69,133.73,189.54,66.34,95.82,94.77,201.12,91.61,128.47,Mobile Payment App
94,94,94,18,Female,Senior,Computer Science,2177.03,880.0,7001.54,1174.67,344.12,252.65,123.42,30.49,104.54,188.76,268.62,151.01,Credit/Debit Card
95,95,95,18,Female,Junior,Engineering,1366.2,564.3,3703.7,836.0,200.2,62.7,104.5,130.9,23.1,182.6,163.9,130.9,Credit/Debit Card
96,96,96,20,Male,Freshman,Economics,1205.28,650.7,4797.94,515.74,241.49,121.68,75.82,95.47,78.62,219.02,160.99,73.01,Credit/Debit Card
97,97,97,18,Male,Sophomore,Biology,497.02,411.3,4953.31,758.16,321.73,194.4,111.78,86.51,26.24,257.58,170.1,153.58,Credit/Debit Card
98,98,98,24,Female,Senior,Biology,903.14,497.2,6833.11,1142.72,241.03,197.47,153.91,162.62,91.48,392.04,124.87,42.11,Cash
99,99,99,23,Male,Junior,Psychology,650.43,716.4,3436.29,921.69,290.07,53.46,144.54,140.58,57.42,83.16,102.96,40.59,Mobile Payment App
100,100,100,22,Male,Sophomore,Psychology,971.76,207.9,2940.3,865.16,262.85,45.44,195.13,81.08,83.75,230.77,143.45,44.55,Mobile Payment App
101,101,101,23,Female,Senior,Psychology,1214.24,480.7,7076.93,1088.76,453.87,181.02,154.4,153.07,29.28,74.54,50.58,141.09,Mobile Payment App
102,102,102,20,Female,Sophomore,Psychology,819.72,163.9,3665.57,692.6,321.26,155.73,83.85,130.68,104.54,149.19,176.42,193.84,Mobile Payment App
103,103,103,25,Male,Junior,Psychology,631.8,85.5,5871.69,751.41,213.84,98.01,248.49,19.8,37.62,190.08,103.95,96.03,Mobile Payment App
104,104,104,21,Female,Junior,Psychology,873.18,1003.2,6739.7,671.55,369.05,124.63,98.01,135.52,33.88,135.52,196.02,238.37,Mobile Payment App
105,105,105,21,Female,Senior,Computer Science,1508.51,283.8,4646.4,673.73,522.72,222.16,319.44,37.75,127.78,209.09,233.77,194.57,Mobile Payment App
106,106,106,25,Female,Senior,Psychology,814.57,543.4,6374.16,594.96,469.84,218.28,267.53,79.86,57.23,131.77,123.78,228.93,Mobile Payment App
107,107,107,21,Male,Junior,Biology,583.2,65.7,5274.72,801.36,120.96,186.84,298.08,146.88,68.04,317.52,173.88,146.88,Mobile Payment App
108,108,108,20,Male,Sophomore,Computer Science,1016.14,289.8,4852.22,420.88,170.1,54.43,69.01,86.51,71.93,64.15,57.35,126.36,Mobile Payment App
109,109,109,24,Male,Senior,Psychology,698.54,461.7,5342.63,939.81,126.32,119.79,152.46,126.32,60.98,287.5,194.93,174.24,Credit/Debit Card
110,110,110,22,Male,Sophomore,Economics,942.84,497.7,6206.38,716.04,362.23,164.27,120.04,126.36,83.19,55.81,42.12,164.27,Mobile Payment App
111,111,111,23,Female,Senior,Economics,1958.75,960.3,9227.22,1039.75,322.47,202.92,138.42,113.26,44.04,302.02,113.26,158.87,Credit/Debit Card
112,112,112,19,Female,Senior,Psychology,827.64,67.1,7226.0,1106.06,356.71,111.8,83.85,34.61,122.45,370.02,246.24,79.86,Credit/Debit Card
113,113,113,21,Female,Freshman,Computer Science,803.09,300.3,5255.71,956.74,406.56,111.94,292.51,156.29,43.3,216.48,157.34,122.5,Mobile Payment App
114,114,114,21,Male,Junior,Engineering,777.6,607.5,4778.1,594.9,255.6,85.5,137.7,83.7,18.9,97.2,72.9,57.6,Mobile Payment App
115,115,115,22,Male,Freshman,Biology,740.74,710.1,3125.95,779.33,296.35,167.62,157.25,63.94,53.57,147.74,108.86,96.77,Mobile Payment App
116,116,116,22,Female,Sophomore,Engineering,1348.38,287.1,4705.47,622.71,331.65,166.32,96.03,111.87,59.4,220.77,43.56,61.38,Cash
117,117,117,18,Male,Senior,Engineering,1223.64,216.0,3076.92,850.41,382.14,145.53,205.92,26.73,59.4,262.35,35.64,22.77,Credit/Debit Card
118,118,118,21,Female,Senior,Engineering,1836.78,794.2,5540.59,919.6,147.62,147.62,76.23,41.14,58.08,302.5,185.13,222.64,Credit/Debit Card
119,119,119,24,Female,Freshman,Psychology,930.6,883.3,5453.71,429.79,280.72,164.56,60.98,24.2,35.82,266.2,107.45,97.77,Mobile Payment App
120,120,120,23,Female,Freshman,Psychology,857.74,11.0,5106.2,619.52,228.45,148.1,248.78,60.02,84.22,181.98,53.24,57.11,Mobile Payment App
121,121,121,24,Male,Freshman,Biology,856.51,846.0,2736.29,660.96,174.53,126.14,158.11,125.28,19.87,201.31,103.68,38.02,Mobile Payment App
122,122,122,25,Male,Junior,Computer Science,1552.59,176.4,5472.36,662.04,300.24,193.32,201.96,160.92,41.04,245.16,174.96,112.32,Cash
123,123,123,22,Female,Senior,Economics,1589.94,181.5,7128.84,1259.97,397.97,262.69,382.24,114.83,51.91,173.03,103.82,154.15,Credit/Debit Card
124,124,124,23,Male,Senior,Biology,1156.32,392.4,3837.24,934.96,447.88,209.09,187.7,139.0,92.66,355.21,99.79,51.08,Mobile Payment App
125,125,125,20,Female,Freshman,Engineering,1429.82,469.7,3248.08,453.2,197.12,105.6,110.0,62.48,40.48,123.2,161.92,155.76,Credit/Debit Card
126,126,126,20,Male,Sophomore,Biology,541.73,558.0,4190.29,567.65,292.57,155.52,187.6,88.45,44.71,139.0,116.64,51.52,Mobile Payment App
127,127,127,22,Male,Junior,Engineering,1308.96,476.1,3610.8,807.3,360.0,47.7,108.0,105.3,79.2,255.6,107.1,94.5,Credit/Debit Card
128,128,128,20,Female,Senior,Engineering,2153.32,304.7,4129.73,670.34,220.22,166.98,332.75,87.12,42.35,193.6,89.54,229.9,Credit/Debit Card
129,129,129,22,Male,Sophomore,Computer Science,1050.89,841.5,5268.24,501.55,288.68,93.31,100.12,125.39,75.82,243.97,105.95,61.24,Credit/Debit Card
130,130,130,22,Male,Senior,Biology,700.92,292.5,5214.13,1077.52,376.6,171.07,149.69,177.01,105.73,288.68,185.33,96.23,Credit/Debit Card
131,131,131,25,Male,Senior,Engineering,862.49,299.7,3815.46,730.62,175.23,193.05,108.9,91.08,76.23,115.83,29.7,49.5,Credit/Debit Card
132,132,132,25,Female,Junior,Psychology,1026.63,1089.0,5910.85,582.01,444.07,157.3,329.12,67.76,68.97,181.5,111.32,26.62,Mobile Payment App
133,133,133,22,Female,Freshman,Engineering,1537.54,1092.3,2971.76,645.04,176.88,82.72,249.92,108.24,29.92,51.92,67.76,85.36,Mobile Payment App
134,134,134,24,Male,Junior,Economics,730.08,164.7,4830.93,702.0,157.95,87.75,265.59,29.25,25.74,234.0,191.88,155.61,Mobile Payment App
135,135,135,24,Female,Senior,Psychology,621.82,236.5,7425.65,564.34,177.02,198.32,185.01,38.6,77.2,366.03,230.26,145.08,Mobile Payment App
136,136,136,23,Male,Junior,Computer Science,1419.21,684.9,6419.52,829.44,265.68,211.68,178.2,56.16,73.44,213.84,194.4,43.2,Mobile Payment App
137,137,137,24,Female,Sophomore,Psychology,990.79,601.7,5777.15,542.32,388.77,185.13,199.29,100.19,91.48,150.28,100.19,214.53,Mobile Payment App
138,138,138,18,Female,Sophomore,Economics,1306.8,588.5,6221.36,763.19,258.69,253.54,100.39,118.4,56.63,229.09,254.83,57.92,Credit/Debit Card
139,139,139,21,Male,Sophomore,Psychology,383.45,337.5,3812.59,665.58,141.67,163.05,175.53,59.7,18.71,78.41,51.68,96.23,Mobile Payment App
140,140,140,22,Male,Junior,Computer Science,1112.67,181.8,3425.76,883.44,170.64,73.44,102.6,82.08,68.04,131.76,50.76,103.68,Mobile Payment App
141,141,141,23,Male,Sophomore,Computer Science,1369.95,146.7,5536.51,873.83,113.72,49.57,270.22,21.38,21.38,148.72,68.04,145.8,Mobile Payment App
142,142,142,25,Male,Junior,Psychology,893.43,4.5,5900.4,669.24,371.25,147.51,131.67,75.24,32.67,209.88,163.35,167.31,Mobile Payment App
143,143,143,24,Male,Senior,Computer Science,1393.82,419.4,6762.1,765.07,131.87,95.04,279.18,90.29,49.9,128.3,77.22,86.72,Cash
144,144,144,23,Female,Senior,Engineering,1248.72,51.7,3698.97,742.94,284.35,139.15,141.57,85.91,87.12,273.46,113.74,152.46,Cash
145,145,145,18,Male,Senior,Biology,1072.37,793.8,3969.11,1151.17,413.42,89.1,149.69,58.21,110.48,238.79,137.81,211.46,Cash
146,146,146,23,Male,Senior,Biology,694.58,762.3,5664.38,552.42,262.55,114.05,61.78,46.33,86.72,111.67,167.51,76.03,Credit/Debit Card
147,147,147,21,Male,Freshman,Engineering,560.74,519.3,2193.12,670.32,161.28,115.92,144.0,17.28,57.6,153.36,97.2,129.6,Credit/Debit Card
148,148,148,24,Male,Sophomore,Computer Science,944.54,198.0,4524.66,776.63,347.98,121.5,281.88,77.76,22.36,151.63,172.04,44.71,Credit/Debit Card
149,149,149,21,Male,Freshman,Psychology,743.26,784.8,2937.53,460.15,80.78,148.9,178.2,77.62,57.02,216.22,99.79,131.47,Mobile Payment App
150,150,150,23,Female,Senior,Biology,1323.26,666.6,8097.8,1330.03,377.52,113.26,309.28,210.54,103.09,323.8,178.6,288.95,Credit/Debit Card
151,151,151,21,Male,Freshman,Computer Science,605.59,343.8,4270.75,697.25,128.74,52.7,184.9,117.5,22.46,165.02,88.13,92.45,Cash
152,152,152,21,Female,Senior,Engineering,952.51,797.5,4065.6,1126.51,398.09,227.48,114.95,145.2,111.32,123.42,71.39,239.58,Credit/Debit Card
153,153,153,19,Male,Junior,Economics,1221.48,283.5,3736.98,547.56,383.76,207.09,138.06,30.42,80.73,77.22,188.37,140.4,Mobile Payment App
154,154,154,19,Female,Freshman,Psychology,1044.65,883.3,4026.88,655.34,153.91,70.66,221.67,135.52,36.78,104.54,169.4,30.01,Cash
155,155,155,22,Female,Freshman,Economics,968.35,941.6,5731.44,496.5,146.43,210.5,316.89,112.11,33.18,131.56,69.78,75.5,Credit/Debit Card
156,156,156,19,Female,Sophomore,Biology,690.62,226.6,6307.09,1121.47,275.62,197.21,181.76,68.9,76.03,79.6,198.4,102.17,Credit/Debit Card
157,157,157,20,Male,Sophomore,Economics,875.77,103.5,3567.56,776.06,310.64,88.45,312.74,69.5,84.24,153.74,105.3,97.93,Mobile Payment App
158,158,158,18,Male,Junior,Engineering,578.88,481.5,4992.3,608.4,229.5,73.8,99.9,115.2,31.5,226.8,144.0,71.1,Credit/Debit Card
159,159,159,25,Female,Senior,Psychology,551.03,1024.1,5439.8,1328.34,334.08,232.93,106.48,109.14,109.14,101.16,202.31,74.54,Mobile Payment App
160,160,160,23,Female,Junior,Economics,1585.32,698.5,5359.64,656.37,416.13,80.08,284.57,143.0,115.83,414.7,193.05,187.33,Credit/Debit Card
161,161,161,25,Male,Senior,Computer Science,1530.24,43.2,6614.78,968.22,188.89,93.85,78.41,134.24,80.78,108.11,111.67,43.96,Mobile Payment App
162,162,162,23,Female,Junior,Economics,720.72,425.7,5562.7,1068.21,403.26,200.2,75.79,50.05,54.34,95.81,107.25,258.83,Credit/Debit Card
163,163,163,19,Female,Senior,Biology,1143.21,1087.9,4591.22,811.67,284.59,198.92,129.23,66.79,87.12,361.55,194.57,290.4,Mobile Payment App
164,164,164,18,Female,Sophomore,Economics,962.28,321.2,5087.51,992.28,437.58,65.64,126.13,154.44,113.26,171.17,74.65,145.43,Cash
165,165,165,19,Female,Freshman,Engineering,902.88,436.7,3544.64,557.04,352.0,128.48,153.12,130.24,36.96,67.76,134.64,107.36,Mobile Payment App
166,166,166,23,Male,Sophomore,Biology,877.39,15.3,5745.49,613.33,374.22,155.52,108.86,33.05,31.1,218.7,168.16,58.32,Cash
167,167,167,20,Male,Freshman,Psychology,684.29,774.9,4302.94,320.76,144.94,153.65,148.1,48.31,52.27,114.05,84.74,17.42,Cash
168,168,168,19,Male,Freshman,Economics,535.68,193.5,4662.22,658.94,227.45,184.39,266.76,126.36,77.69,179.71,33.7,184.39,Credit/Debit Card
169,169,169,24,Female,Freshman,Economics,1274.59,372.9,4988.98,729.87,229.94,163.59,275.7,128.13,33.18,98.38,159.02,125.84,Cash
170,170,170,21,Male,Sophomore,Psychology,452.71,410.4,5250.66,855.36,177.31,110.48,247.7,102.47,42.77,171.96,158.6,60.59,Cash
171,171,171,25,Female,Senior,Engineering,1499.92,70.4,5141.29,625.57,125.84,77.44,313.39,158.51,79.86,283.14,76.23,125.84,Mobile Payment App
172,172,172,19,Female,Freshman,Psychology,571.82,2.2,3582.57,435.6,98.74,79.38,258.46,36.78,62.92,124.87,180.05,121.0,Mobile Payment App
173,173,173,20,Male,Freshman,Psychology,844.99,68.4,2822.69,670.82,142.56,72.86,237.6,71.28,50.69,89.5,26.93,89.5,Mobile Payment App
174,174,174,21,Male,Junior,Biology,656.64,873.0,3697.92,1070.28,375.84,195.48,92.88,144.72,75.6,189.0,43.2,198.72,Credit/Debit Card
